region_type,starts,ends
skip,541700,912730
skip,969350,1170380
skip,1328900,1522520
skip,1647710,1960850
skip,1980480,2237480
skip,2459300,2865400
skip,2966440,3205190
skip,3221030,3655970
skip,6764230,8693770
skip,10247390,10345660
skip,10348220,10578380
skip,10582620,10662690
skip,10664610,10819980
skip,10822390,10943260
skip,10945740,11000860
skip,11346300,11692430
skip,11700850,11820210
skip,11912710,12595440
skip,16580020,16618160
skip,16867010,17462480
silence,17462480,19402420
skip,25691670,27521560
skip,30437440,30727060
skip,31262960,31738580
skip,37527900,38401490
