filename,num_makeup_region,num_extra_region,num_surplus_region,makeup_time,extra_time,surplus_time,subregion_time,num_subregion_with_annot,skip_silence_overlap_hour,skip_time,silence_time,silence_raw_hour,end_time,total_listen_time,positions,ranks,subregion_raw_hour,num_raw_subregion,annotation_counts_raw
01_06_sparse_code.cha,0,0,0,0,0,0,0,0,0,23736050,0,5.86,57599990,33863940,[],[],0.0,0.0,[]
01_07_sparse_code.cha,0,0,0,0,0,0,0,0,0,737060,22274360,6.19,57599990,34588570,[],[],0.0,0.0,[]
01_08_sparse_code.cha,0,1,3,0,300240,9684580,14400000,4,0,0,18112170,5.03,57599990,14700240,"['1', '2', '3', '4', '5']","['1', '5', '2', '4', '3']",5.0,5.0,"[137, 58, 37, 65, 51]"
01_09_sparse_code.cha,0,0,2,0,0,2589970,14400000,4,0,0,5491670,1.53,57599990,14400000,"['1', '2', '3', '4', '5']","['5', '2', '3', '4', '1']",5.0,5.0,"[0, 67, 182, 61, 38]"
01_10_sparse_code.cha,0,0,1,0,0,873640,14400000,4,0,0,12890497,3.58,57599990,14400000,"['1', '2', '3', '4', '5']","['2', '5', '4', '3', '1']",5.0,5.0,"[226, 27, 132, 280, 89]"
01_11_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,3147380,0.87,57599990,14400000,"['1', '2', '3', '4', '5']","['3', '2', '1', '4', '5']",5.0,5.0,"[227, 129, 103, 139, 0]"
01_12_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,4032590,1.12,57599990,14400000,"['1', '2', '3', '4', '5']","['2', '4', '1', '5', '3']",5.0,5.0,"[171, 89, 163, 0, 171]"
01_13_sparse_code.cha,1,0,0,139570,0,0,14273130,4,0,134540,613690,0.17,57599990,14412700,"['1', '2', '3', '4', '5']","['5', '1', '4', '2', '3']",5.0,5.0,"[3, 135, 37, 128, 59]"
01_14_sparse_code.cha,0,0,0,0,0,0,10799999,3,0,0,16995650,4.72,57599990,10799999,"['1', '2', '3', '4', '5']","['2', '3', '1', '5', '4']",5.0,5.0,"[127, 135, 28, 0, 0]"
01_15_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,14022770,3.9,57599990,10800000,"['1', '2', '3', '4', '5']","['2', '4', '1', '3', '5']",5.0,5.0,"[141, 0, 146, 247, 0]"
01_16_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,19386630,5.39,57599990,10800000,"['1', '2', '3', '4', '5']","['1', '3', '5', '4', '2']",5.0,5.0,"[156, 117, 0, 0, 111]"
