region_type,starts,ends
skip,753790,1719720
skip,2513050,2980010
skip,3347890,3910350
skip,5421020,11540120
silence,5830842,11526450
skip,13381190,14123570
skip,14154670,14570280
skip,14791730,15536510
skip,15638260,15835000
skip,15918680,16103530
skip,16165950,17107230
skip,18022880,18243090
skip,23376130,23569150
skip,26144340,26354450
skip,26392760,26688960
skip,26741580,26889600
skip,27580940,28016700
skip,28048080,35049210
silence,30087861,32147744
skip,35266730,35793860
skip,36092010,36366290
skip,36967090,37080140
skip,37097980,37478870
skip,37512960,38271210
skip,38300530,38879430
skip,40765250,41685730
skip,44643500,46375500
silence,44985610,46371080
